"","state","name","vote_percent","market_close","poll_estimate","poll_trend_adjusted","final_rank","contest_date","date_dropped","winner","poll_cutoff","viable_candidates"
"45","Missouri","Bernie Sanders",0.346,0.03,0.2880601,0.3056,2,2020-03-10,NA,"No",1,2
"46","Missouri","Tulsi Gabbard",0.007,0.01,0.01157001,0.0121,5,2020-03-10,2020-03-19,"No",0,2
"47","Minnesota","Joe Biden",0.386,0.19,0.1315174,0.107,1,2020-03-03,NA,"Yes",1,4
"48","Minnesota","Bernie Sanders",0.299,0.81,0.1928788,0.2618,2,2020-03-03,NA,"No",1,4
"49","Minnesota","Elizabeth Warren",0.154,0.01,0.1537712,0.1439,3,2020-03-03,2020-03-05,"No",1,4
"50","Minnesota","Tulsi Gabbard",0.003,0.01,0.01473421,0.0152,7,2020-03-03,2020-03-19,"No",0,4
"51","Minnesota","Michael Bloomberg",0.083,0.01,0.06040617,0.0559,4,2020-03-03,2020-03-04,"No",1,4
"52","Michigan","Joe Biden",0.529,0.92,0.5432882,0.5363,1,2020-03-10,NA,"Yes",1,2
"53","Michigan","Bernie Sanders",0.364,0.09,0.3227409,0.3229,2,2020-03-10,NA,"No",1,2
"54","Michigan","Tulsi Gabbard",0.006,0.01,0.01297288,0.0129,7,2020-03-10,2020-03-19,"No",0,2
"55","Maine","Joe Biden",0.341,0.16,0.2225165,0.1951,1,2020-03-03,NA,"Yes",1,4
"56","Maine","Bernie Sanders",0.329,0.85,0.2524456,0.3166,2,2020-03-03,NA,"No",1,4
"57","Maine","Elizabeth Warren",0.157,0.03,0.1649672,0.1362,3,2020-03-03,2020-03-05,"No",1,4
"58","Maine","Tulsi Gabbard",0.009,0.01,0.01632271,0.0171,7,2020-03-03,2020-03-19,"No",0,4
"59","Maine","Michael Bloomberg",0.12,0.04,0.144414,0.1386,4,2020-03-03,2020-03-04,"No",1,4
"60","Illinois","Joe Biden",0.59,0.98,0.5488482,0.5911,1,2020-03-17,NA,"Yes",1,2
"61","Illinois","Bernie Sanders",0.361,0.03,0.303869,0.3066,2,2020-03-17,NA,"No",1,2
"62","Illinois","Tulsi Gabbard",0.006,0.01,0.0101181,0.014,5,2020-03-17,2020-03-19,"No",0,2
"63","Idaho","Joe Biden",0.489,0.75,0.4786007,0.4863,1,2020-03-10,NA,"Yes",1,2
"64","Idaho","Bernie Sanders",0.425,0.3,0.4222448,0.4317,2,2020-03-10,NA,"No",1,2
"65","Idaho","Tulsi Gabbard",0.008,0.01,0.01510822,0.0153,6,2020-03-10,2020-03-19,"No",0,2
"66","Florida","Joe Biden",0.62,0.99,0.6335148,0.6353,1,2020-03-17,NA,"Yes",1,2
"67","Florida","Bernie Sanders",0.228,0.02,0.2255848,0.2292,2,2020-03-17,NA,"No",1,2
"68","Florida","Tulsi Gabbard",0.005,0.01,0.01452054,0.0144,7,2020-03-17,2020-03-19,"No",0,2
"69","Colorado","Joe Biden",0.247,0.04,0.1318517,0.122,2,2020-03-03,NA,"No",1,4
"70","Colorado","Bernie Sanders",0.37,0.95,0.2964437,0.3311,1,2020-03-03,NA,"Yes",1,4
"71","Colorado","Elizabeth Warren",0.176,0.02,0.1574409,0.1508,4,2020-03-03,2020-03-05,"No",1,4
"72","Colorado","Tulsi Gabbard",0.01,0.01,0.006934389,0.007,5,2020-03-03,2020-03-19,"No",0,4
"73","Colorado","Michael Bloomberg",0.185,0.01,0.1055766,0.1039,3,2020-03-03,2020-03-04,"No",1,4
"74","California","Joe Biden",0.28,0.08,0.2027204,0.2032,2,2020-03-03,NA,"No",1,4
"75","California","Bernie Sanders",0.355,0.93,0.3342555,0.342,1,2020-03-03,NA,"Yes",1,4
"76","California","Elizabeth Warren",0.133,0.01,0.1560192,0.156,3,2020-03-03,2020-03-05,"No",1,4
